,id,country,league,season,stage,winner
2,3,Belgium,Belgium Jupiler League,2008/2009,1,8635
3,4,Belgium,Belgium Jupiler League,2008/2009,1,9991
4,5,Belgium,Belgium Jupiler League,2008/2009,1,9985
7,8,Belgium,Belgium Jupiler League,2008/2009,1,9996
8,9,Belgium,Belgium Jupiler League,2008/2009,1,10001
9,10,Belgium,Belgium Jupiler League,2008/2009,10,8342
10,11,Belgium,Belgium Jupiler League,2008/2009,10,9986
11,12,Belgium,Belgium Jupiler League,2008/2009,10,9991
14,15,Belgium,Belgium Jupiler League,2008/2009,10,9999
15,16,Belgium,Belgium Jupiler League,2008/2009,10,9984
16,17,Belgium,Belgium Jupiler League,2008/2009,10,9987
17,18,Belgium,Belgium Jupiler League,2008/2009,10,8635
18,19,Belgium,Belgium Jupiler League,2008/2009,11,9994
21,22,Belgium,Belgium Jupiler League,2008/2009,11,9984
23,24,Belgium,Belgium Jupiler League,2008/2009,11,4049
25,26,Belgium,Belgium Jupiler League,2008/2009,11,10001
26,27,Belgium,Belgium Jupiler League,2008/2009,11,9985
31,32,Belgium,Belgium Jupiler League,2008/2009,12,7947
33,34,Belgium,Belgium Jupiler League,2008/2009,12,9996
34,35,Belgium,Belgium Jupiler League,2008/2009,12,4049
35,36,Belgium,Belgium Jupiler League,2008/2009,12,10001
36,37,Belgium,Belgium Jupiler League,2008/2009,13,8635
37,38,Belgium,Belgium Jupiler League,2008/2009,13,9985
38,39,Belgium,Belgium Jupiler League,2008/2009,13,8342
39,40,Belgium,Belgium Jupiler League,2008/2009,13,9986
40,41,Belgium,Belgium Jupiler League,2008/2009,13,9984
41,42,Belgium,Belgium Jupiler League,2008/2009,13,9987
43,44,Belgium,Belgium Jupiler League,2008/2009,13,8571
44,45,Belgium,Belgium Jupiler League,2008/2009,13,9994
45,46,Belgium,Belgium Jupiler League,2008/2009,14,8342
46,47,Belgium,Belgium Jupiler League,2008/2009,14,9987
47,48,Belgium,Belgium Jupiler League,2008/2009,14,10000
48,49,Belgium,Belgium Jupiler League,2008/2009,14,9991
49,50,Belgium,Belgium Jupiler League,2008/2009,14,8635
51,52,Belgium,Belgium Jupiler League,2008/2009,14,9996
53,54,Belgium,Belgium Jupiler League,2008/2009,14,10001
54,55,Belgium,Belgium Jupiler League,2008/2009,15,8635
55,56,Belgium,Belgium Jupiler League,2008/2009,15,10000
56,57,Belgium,Belgium Jupiler League,2008/2009,15,9998
57,58,Belgium,Belgium Jupiler League,2008/2009,15,8203
58,59,Belgium,Belgium Jupiler League,2008/2009,15,9984
59,60,Belgium,Belgium Jupiler League,2008/2009,15,9994
60,61,Belgium,Belgium Jupiler League,2008/2009,15,9999
61,62,Belgium,Belgium Jupiler League,2008/2009,15,8571
62,63,Belgium,Belgium Jupiler League,2008/2009,15,9993
63,64,Belgium,Belgium Jupiler League,2008/2009,16,9985
64,65,Belgium,Belgium Jupiler League,2008/2009,16,9987
65,66,Belgium,Belgium Jupiler League,2008/2009,16,10000
68,69,Belgium,Belgium Jupiler League,2008/2009,16,8203
69,70,Belgium,Belgium Jupiler League,2008/2009,16,8635
70,71,Belgium,Belgium Jupiler League,2008/2009,16,4049
71,72,Belgium,Belgium Jupiler League,2008/2009,16,9984
72,73,Belgium,Belgium Jupiler League,2008/2009,17,8635
73,74,Belgium,Belgium Jupiler League,2008/2009,17,9985
75,76,Belgium,Belgium Jupiler League,2008/2009,17,9986
76,77,Belgium,Belgium Jupiler League,2008/2009,17,9984
78,79,Belgium,Belgium Jupiler League,2008/2009,17,9996
80,81,Belgium,Belgium Jupiler League,2008/2009,17,9993
81,82,Belgium,Belgium Jupiler League,2008/2009,18,9993
82,83,Belgium,Belgium Jupiler League,2008/2009,18,9994
83,84,Belgium,Belgium Jupiler League,2008/2009,18,9984
84,85,Belgium,Belgium Jupiler League,2008/2009,18,9991
85,86,Belgium,Belgium Jupiler League,2008/2009,18,9985
86,87,Belgium,Belgium Jupiler League,2008/2009,18,8342
87,88,Belgium,Belgium Jupiler League,2008/2009,18,8571
89,90,Belgium,Belgium Jupiler League,2008/2009,18,10001
90,91,Belgium,Belgium Jupiler League,2008/2009,19,10000
91,92,Belgium,Belgium Jupiler League,2008/2009,19,8635
92,93,Belgium,Belgium Jupiler League,2008/2009,19,9985
93,94,Belgium,Belgium Jupiler League,2008/2009,19,9987
94,95,Belgium,Belgium Jupiler League,2008/2009,19,9999
95,96,Belgium,Belgium Jupiler League,2008/2009,19,4049
97,98,Belgium,Belgium Jupiler League,2008/2009,19,8571
98,99,Belgium,Belgium Jupiler League,2008/2009,19,9993
99,100,Belgium,Belgium Jupiler League,2008/2009,2,8342
101,102,Belgium,Belgium Jupiler League,2008/2009,2,9985
102,103,Belgium,Belgium Jupiler League,2008/2009,2,9998
103,104,Belgium,Belgium Jupiler League,2008/2009,2,9986
104,105,Belgium,Belgium Jupiler League,2008/2009,2,9994
105,106,Belgium,Belgium Jupiler League,2008/2009,2,9996
106,107,Belgium,Belgium Jupiler League,2008/2009,2,8571
108,109,Belgium,Belgium Jupiler League,2008/2009,20,8635
109,110,Belgium,Belgium Jupiler League,2008/2009,20,9987
111,112,Belgium,Belgium Jupiler League,2008/2009,20,9991
112,113,Belgium,Belgium Jupiler League,2008/2009,20,7947
114,115,Belgium,Belgium Jupiler League,2008/2009,20,9985
