team_long_name,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
FC Aarau,9930,2014-09-19,52.0,Balanced,48.0,Normal,56.0,Mixed,Organised,54.0,Normal,63.0,Normal,64.0,Normal,Organised,47.0,Medium,44.0,Press,54.0,Normal,Cover
FC Aarau,9930,2015-09-10,47.0,Balanced,41.0,Normal,54.0,Mixed,Organised,54.0,Normal,63.0,Normal,64.0,Normal,Organised,47.0,Medium,44.0,Press,54.0,Normal,Cover
Aberdeen,8485,2014-09-19,58.0,Balanced,64.0,Normal,62.0,Mixed,Organised,56.0,Normal,68.0,Lots,57.0,Normal,Organised,41.0,Medium,42.0,Press,60.0,Normal,Cover
Aberdeen,8485,2015-09-10,59.0,Balanced,64.0,Normal,53.0,Mixed,Organised,51.0,Normal,72.0,Lots,63.0,Normal,Free Form,49.0,Medium,45.0,Press,63.0,Normal,Cover
AC Ajaccio,8576,2014-09-19,59.0,Balanced,57.0,Normal,52.0,Mixed,Organised,48.0,Normal,38.0,Normal,52.0,Normal,Organised,38.0,Medium,47.0,Press,53.0,Normal,Cover
AC Ajaccio,8576,2015-09-10,59.0,Balanced,57.0,Normal,52.0,Mixed,Organised,48.0,Normal,38.0,Normal,52.0,Normal,Organised,38.0,Medium,47.0,Press,53.0,Normal,Cover
Milan,8564,2014-09-19,48.0,Balanced,70.0,Lots,52.0,Mixed,Organised,66.0,Normal,36.0,Normal,75.0,Lots,Organised,58.0,Medium,57.0,Press,49.0,Normal,Cover
Milan,8564,2015-09-10,48.0,Balanced,70.0,Lots,52.0,Mixed,Organised,66.0,Normal,36.0,Normal,69.0,Lots,Organised,58.0,Medium,57.0,Press,49.0,Normal,Cover
Académica de Coimbra,10215,2014-09-19,52.0,Balanced,53.0,Normal,44.0,Mixed,Organised,55.0,Normal,51.0,Normal,60.0,Normal,Organised,39.0,Medium,38.0,Press,61.0,Normal,Cover
Académica de Coimbra,10215,2015-09-10,53.0,Balanced,53.0,Normal,44.0,Mixed,Organised,55.0,Normal,51.0,Normal,60.0,Normal,Organised,39.0,Medium,38.0,Press,61.0,Normal,Cover
ADO Den Haag,10217,2014-09-19,58.0,Balanced,47.0,Normal,55.0,Mixed,Organised,55.0,Normal,52.0,Normal,44.0,Normal,Organised,57.0,Medium,50.0,Press,52.0,Normal,Cover
ADO Den Haag,10217,2015-09-10,56.0,Balanced,40.0,Normal,66.0,Mixed,Organised,55.0,Normal,52.0,Normal,38.0,Normal,Organised,40.0,Medium,50.0,Press,52.0,Normal,Cover
Ajax,8593,2014-09-19,40.0,Balanced,40.0,Normal,30.0,Short,Organised,51.0,Normal,55.0,Normal,39.0,Normal,Free Form,64.0,Medium,53.0,Press,64.0,Normal,Cover
Ajax,8593,2015-09-10,35.0,Balanced,43.0,Normal,39.0,Mixed,Organised,58.0,Normal,55.0,Normal,30.0,Little,Free Form,64.0,Medium,53.0,Press,59.0,Normal,Cover
UD Almería,9865,2014-09-19,46.0,Balanced,41.0,Normal,65.0,Mixed,Organised,57.0,Normal,54.0,Normal,40.0,Normal,Organised,37.0,Medium,53.0,Press,45.0,Normal,Cover
UD Almería,9865,2015-09-10,46.0,Balanced,41.0,Normal,65.0,Mixed,Organised,57.0,Normal,54.0,Normal,40.0,Normal,Organised,37.0,Medium,53.0,Press,45.0,Normal,Cover
RSC Anderlecht,8635,2014-09-19,52.0,Balanced,46.0,Normal,51.0,Mixed,Organised,60.0,Normal,53.0,Normal,47.0,Normal,Organised,60.0,Medium,50.0,Press,65.0,Normal,Cover
RSC Anderlecht,8635,2015-09-10,52.0,Balanced,46.0,Normal,51.0,Mixed,Organised,60.0,Normal,53.0,Normal,47.0,Normal,Organised,53.0,Medium,50.0,Press,61.0,Normal,Cover
Angers SCO,8121,2014-09-19,48.0,Balanced,61.0,Normal,50.0,Mixed,Organised,40.0,Normal,52.0,Normal,48.0,Normal,Organised,44.0,Medium,44.0,Press,51.0,Normal,Cover
Angers SCO,8121,2015-09-10,48.0,Balanced,61.0,Normal,50.0,Mixed,Organised,40.0,Normal,52.0,Normal,48.0,Normal,Organised,44.0,Medium,44.0,Press,51.0,Normal,Cover
AC Arles-Avignon,108893,2014-09-19,39.0,Balanced,48.0,Normal,54.0,Mixed,Organised,49.0,Normal,40.0,Normal,43.0,Normal,Organised,44.0,Medium,53.0,Press,57.0,Normal,Cover
AC Arles-Avignon,108893,2015-09-10,56.0,Balanced,46.0,Normal,54.0,Mixed,Organised,55.0,Normal,40.0,Normal,43.0,Normal,Organised,48.0,Medium,53.0,Press,57.0,Normal,Cover
DSC Arminia Bielefeld,9912,2014-09-19,62.0,Balanced,49.0,Normal,55.0,Mixed,Organised,56.0,Normal,51.0,Normal,52.0,Normal,Organised,36.0,Medium,54.0,Press,48.0,Normal,Cover
FC Arouca,158085,2014-09-19,69.0,Fast,66.0,Normal,39.0,Mixed,Organised,55.0,Normal,59.0,Normal,46.0,Normal,Organised,35.0,Medium,37.0,Press,37.0,Normal,Cover
FC Arouca,158085,2015-09-10,65.0,Balanced,66.0,Normal,39.0,Mixed,Organised,55.0,Normal,59.0,Normal,46.0,Normal,Organised,37.0,Medium,39.0,Press,37.0,Normal,Cover
Arsenal,9825,2014-09-19,59.0,Balanced,51.0,Normal,26.0,Short,Organised,28.0,Safe,55.0,Normal,64.0,Normal,Free Form,51.0,Medium,44.0,Press,52.0,Normal,Cover
Arsenal,9825,2015-09-10,59.0,Balanced,51.0,Normal,30.0,Short,Organised,28.0,Safe,44.0,Normal,46.0,Normal,Free Form,51.0,Medium,44.0,Press,52.0,Normal,Cover
Aston Villa,10252,2014-09-19,66.0,Balanced,32.0,Little,72.0,Long,Organised,63.0,Normal,48.0,Normal,56.0,Normal,Organised,39.0,Medium,42.0,Press,52.0,Normal,Cover
Aston Villa,10252,2015-09-10,63.0,Balanced,37.0,Normal,54.0,Mixed,Organised,60.0,Normal,48.0,Normal,38.0,Normal,Organised,35.0,Medium,44.0,Press,54.0,Normal,Cover
